ring_id,z_surface_mm,radius_mm,nozzle_x_mm,nozzle_z_mm,theta_deg,X_cmd,Y_cmd,Z_cmd,turns,rpm_model,rpm_command,F_E
19,140.319684408123,173.753139508041,238.753139508041,140.319684408123,0,0,200,200,1,2.56475274011774,2.56475274011774,12.8237637005887
18,138.771310594496,161.356179960103,225.941985699692,131.445077116917,5.50088801799993,0,192.195805961917,194.499111982,1,2.7618021247621,2.7618021247621,13.8090106238105
17,135.995018114879,149.172946781595,212.798977720733,122.701102704745,10.0312798300554,0,184.506488481441,189.968720169945,1,2.98736366259334,2.98736366259334,14.9368183129667
16,132.110760044928,137.296000519086,199.494543158675,113.233755687475,14.3504056186877,0.233949049292064,176.181048185975,185.649594381312,1,3.24578894485245,3.24578894485245,16.2289447242623
15,127.239536905842,125.787808663746,186.270272674871,103.430472515509,18.2641167556246,1.96116135210012,167.560190769545,181.735883244375,1,3.54274269813037,3.54274269813037,17.7137134906518
14,121.503620878166,114.684551861087,173.286282070726,93.381792764818,21.7901250592804,4.48539637318571,158.723535351715,178.20987494072,1,3.88573555396621,3.88573555396621,19.4286777698311
13,115.020399035175,103.999792165327,160.657039420022,83.1620197053905,24.9466967400734,7.57078090627037,149.736423092676,175.053303259927,1,4.28494933863798,4.28494933863798,21.4247466931899
12,107.894896419903,93.7316731493695,148.451183957551,72.8124914722184,27.7654314709893,11.1128314124289,140.63520611665,172.234568529011,1,4.75435704585312,4.75435704585312,23.7717852292656
11,100.218342545476,83.8682939420764,136.701900183662,62.3552991983138,30.2830871465072,15.0485784364065,131.439311028428,169.716912853493,1,5.31349595551668,5.31349595551668,26.5674797775834
10,92.0682059366692,74.3921232096036,125.416944564852,51.8007549909608,32.537639539493,19.3347812109949,122.157806137577,167.462360460507,1,5.99033636130684,5.99033636130684,29.9516818065342
9,83.5097636014471,65.2827402352063,114.587529641837,41.1536809028803,34.5650495040142,23.9394193558837,112.794931883573,165.434950495986,1,6.82621224310957,6.82621224310957,34.1310612155478
8,74.5975621358384,56.5189207898587,104.194863476988,30.4160672664527,36.3981900250832,28.837572492823,103.352438534297,163.601809974917,1,7.88468418061635,7.88468418061635,39.4234209030817
7,65.3767679856653,48.0801966819942,94.2201955046537,19.5935777446502,38.0609617947929,34.0091471107523,93.8353066284194,161.939038205207,1,9.26855278077917,9.26855278077917,46.3427639038959
6,55.8861799250284,39.9459215099416,84.6423762896666,8.69267475616014,39.573103856844,39.4375058628528,84.2492191181812,160.426896143156,1,11.1559284105237,11.1559284105237,55.7796420526185
5,46.156020185051,32.0997024443661,75.4053540362014,-2.31686440217542,40.9890516871694,45.108585451202,74.5675986202617,159.010948312831,1,13.8828028524458,13.8828028524458,69.414014262229
4,36.2112887559527,24.5271519972814,66.5490457727716,-13.3786340461794,42.264096722515,51.0102999083359,64.8400474313848,157.735903277485,1,18.1690006531008,18.1690006531008,90.845003265504
3,26.086062998222,17.1975299448431,58.0855644021682,-24.4428261466681,43.3671499597036,57.1321206601398,55.1103659712931,156.632850040296,1,25,25,125
2,15.7880860094165,10.1128589657981,49.6406414966882,-35.8118598063559,44.6643795517184,63.4647713402724,45.1126115023575,155.335620448282,1,25,25,125
1,5.29369502858918,3.32253749158113,41.502283694504,-47.3115041429794,45.9243482706403,70,35,154.07565172936,1,25,25,125
