z_mm,r_mm,dr_dz,theta_tangent_deg
0,0,0.625810836039596,32.0387786624916
1.348726,0.844459999999998,0.626427349503399,32.0641543673994
2.697058,1.689528,0.627371450651487,32.1029863049925
4.044602,2.53581199999999,0.628959988717861,32.1682502052609
5.390963,3.38392199999998,0.631188054174305,32.2596312841861
6.735747,4.234465,0.634056194795576,32.3769938314705
8.078559,5.08804999999998,0.637574065494851,32.5205278252887
9.41900700000001,5.94528399999999,0.641746282026107,32.6901675603165
10.756694,6.80677799999998,0.646581549348464,32.8859631456518
12.091227,7.67313799999999,0.652022068374633,33.1052375017233
13.422295,8.544839,0.65773360198711,33.3342633206328
14.749902,9.42185099999998,0.663384089683678,33.5596622923148
16.074121,10.304026,0.668911285200282,33.7790108938744
17.39503,11.191214,0.674315067882417,33.9923812889164
18.712704,12.083269,0.67959406882736,34.1997949963815
20.02722,12.980041,0.684746009343587,34.4012372371994
21.338652,13.881382,0.689770337839351,34.5967600610473
22.647077,14.787145,0.694663587329718,34.7863012739672
23.952572,15.69718,0.69942470940493,34.9698921381818
25.255211,16.61134,0.704052520415212,35.1475573447127
26.55507,17.529476,0.708543413060622,35.3192277765624
27.852226,18.451439,0.712898054304315,35.4849965877443
29.146754,19.377083,0.71712583383134,35.6452845971286
30.438715,20.306282,0.72132419186788,35.8038233191496
31.728069,21.239059,0.725610912201043,35.9650482864364
33.014744,22.17549,0.730015333862349,36.1300172084612
34.298668,23.115649,0.734538550037922,36.2987168052764
35.579767,24.059612,0.739183147449766,36.4711873788237
36.857967,25.007454,0.743950020429624,36.6474040284877
38.133196,25.95925,0.748840508380009,36.8273561975985
39.405382,26.915076,0.753857347714575,37.0110821550811
40.674449,27.875007,0.759001385191857,37.1985484549317
41.940327,28.839118,0.76427426845523,37.3897488002894
43.202941,29.807484,0.769679274326036,37.5847330123296
44.462218,30.780181,0.775217905005754,37.7834834935217
45.718085,31.757285,0.78089044407543,37.9859371436376
46.970471,32.738868,0.786684239057786,38.1915715700513
48.219315,33.724978,0.792570248439884,38.3992966934859
49.464573,34.715633,0.798534421942493,38.6085693215088
50.706197,35.710853,0.804578655201829,38.819413303612
51.944144,36.710657,0.810703772920076,39.0318122569127
53.178366,37.715064,0.816911649630146,39.2457863847356
54.408819,38.724093,0.823202583063215,39.4612996534288
55.635457,39.737762,0.829578723535184,39.6783783710089
56.858234,40.75609,0.83604207945873,39.8970423234264
58.077105,41.779097,0.842594147584689,40.117292435394
59.292023,42.806801,0.849237034945844,40.3391483831764
60.502942,43.839223,0.855987741518772,40.5631199992555
61.709794,44.8764,0.862867940106655,40.7898559174742
62.912505,45.918375,0.869885254709172,41.0195265632329
64.111001,46.965192,0.877043303843762,41.2521644680706
65.305207,48.016896,0.884344998624644,41.4877760398102
66.495047,49.073529,0.891792342355767,41.7263348229541
67.680448,50.135136,0.899389084812875,41.9678678231449
68.861334,51.20176,0.907139031748692,42.2123989044451
70.03763,52.273446,0.915043610517526,42.4598733435443
71.209263,53.350236,0.92310681021096,42.7103144332039
72.376158,54.432176,0.931334400578385,42.9637949863392
73.538235,55.519307,0.939733887142297,43.2204341373873
74.695407,56.611673,0.948315510123456,43.480425973254
75.847581,57.709316,0.957082677476914,43.7437487361788
76.994668,58.812276,0.966039285706936,44.0103895280769
78.136576,59.920596,0.975192524699318,44.2804297858132
79.273214,61.034318,0.984546703114917,44.5538573625821
80.40449,62.153484,0.994106113174786,44.8306538235462
81.530314,63.278136,1.00387591292179,45.1108216144446
82.650594,64.408315,1.01386158046223,45.394365434378
83.76524,65.544063,1.0240692870742,45.6813020374466
84.874159,66.685422,1.03451190687385,45.971828005548
85.977249,67.832436,1.04520811747616,46.2662828799433
87.074394,68.985149,1.05617326602716,46.5648921693553
88.165475,70.143606,1.0674167356857,46.8677049653643
89.250375,71.307852,1.07894434137626,47.1746632273885
90.328978,72.47793,1.09076666345357,47.4858257544981
91.401165,73.653887,1.10289392402861,47.8012290880789
92.466819,74.835767,1.11533331404854,48.1208198882721
93.525823,76.023614,1.12809561719134,48.4446254427425
94.57806,77.217474,1.1411923185158,48.7726771934711
95.623411,78.417391,1.15463551362871,49.1050074596607
96.661755,79.623409,1.16844885478499,49.4419136047847
97.69295,80.835569,1.18265959342686,49.7837471216126
98.716846,82.05391,1.1972863522843,50.1306208917307
99.733293,83.278472,1.21234484179761,50.4825564953884
100.742143,84.509296,1.22785022173565,50.8395394020855
101.743244,85.746419,1.2438205941513,51.2016069037131
102.736449,86.989882,1.26027392119772,51.5687620168829
103.721606,88.239725,1.27722985437734,51.9410288117643
104.698568,89.495987,1.29470883250407,52.3184197072034
105.667183,90.758708,1.31273201038803,52.70093179611
106.627302,92.027927,1.33133334561198,53.0888091135633
107.578756,93.303678,1.35055406764661,53.4823868526995
108.521362,94.585988,1.37043474115686,53.8819382332135
109.454934,95.874888,1.39100503075558,54.2874636093519
110.379289,97.170404,1.41229755640009,54.6989831777683
111.294242,98.472567,1.43434630060831,55.1164939716357
112.199609,99.781403,1.45719091096645,55.5400642466153
113.095205,101.096942,1.48087091555277,55.9696968536647
113.980846,102.419212,1.50542650595345,56.4053583574549
114.856348,103.748241,1.53090937688064,56.8471645223843
115.721519,105.084054,1.55738749375848,57.2954410358622
116.576147,106.426661,1.58492380976449,57.7503189751811
117.420014,107.776067,1.61358920880749,58.2119940935371
118.252901,109.13228,1.64345014127829,58.6804892300203
119.074591,110.495306,1.67457442317717,59.1557540502819
119.884865,111.865151,1.70704552083943,59.6379053625047
120.683506,113.241821,1.74094771240407,60.1269449944255
121.470295,114.625324,1.77637276673859,60.6228789786384
122.245015,116.015665,1.81342623364801,61.1257960105638
123.007444,117.412848,1.85222143902448,61.6357266705688
123.757342,118.816848,1.89289699328842,62.1529124259255
124.494454,120.227621,1.93560176174963,62.6775311017055
125.218524,121.645124,1.980479337025,63.2094888081614
125.929299,123.069313,2.02771199461779,63.749009233782
126.626522,124.500146,2.07748580363984,64.2961000590076
127.309939,125.937577,2.1300130475942,64.850848851362
127.979295,127.381565,2.18551798326718,65.4131711632369
128.634336,128.832065,2.24427300239863,65.9832573645298
129.274806,130.289033,2.30654262480425,66.5608840327802
129.900459,131.752407,2.37257603998806,67.1453975948901
130.511059,133.222108,2.44271182754922,67.7367174304076
131.106367,134.698056,2.51734735704598,68.3348663738597
131.686149,136.180168,2.59692944185106,68.9397692766886
132.250165,137.668366,2.68199654701133,69.5516710060017
132.79818,139.162569,2.7731414275733,70.1705955501044
133.329953,140.662695,2.87113198618106,70.797007384249
133.8452,142.168629,2.97700412168141,71.4323377508059
134.343597,143.680233,3.09186230344756,72.0772510635635
134.82482,145.197365,3.21687896532801,72.7315601598935
135.288543,146.719885,3.35352506546766,73.3957203566047
135.734442,148.247652,3.50348515841919,74.0695859723344
136.162192,149.780525,3.66883501459954,74.7534069713888
136.571487,151.318361,3.85078078846296,75.4424416210166
136.962251,152.860985,4.04987493946855,76.1298258131968
137.334548,154.408203,4.26792737057478,76.8130418386449
137.688446,155.959821,4.50786118854607,77.4922152351007
138.024013,157.515644,4.77324192565207,78.1674032072254
138.341315,159.075479,5.06831787648753,78.8385144917031
138.640421,160.63913,5.39898352701579,79.5063359246604
138.921285,162.206399,5.78266111612052,80.188483752149
139.183058,163.777057,6.24825222359856,80.9069606028675
139.424542,165.350859,6.82758048907399,81.6668207748504
139.644537,166.927563,7.56418271583884,82.4690310701524
139.841844,168.506924,8.53098686236165,83.3131971864867
140.015265,170.088701,9.84998749431182,84.2019899949282
140.163599,171.672648,11.7471950611602,85.1329771788158
140.286328,173.258519,14.3969025496498,86.0200782279635
140.386249,174.846044,17.8023542068025,86.7790764961974
140.467162,176.434947,22.0721201501554,87.3942408441438
140.53287,178.024953,26.94807146117,87.8718784965541
140.587172,179.615787,31.8418823634863,88.1992548185089
140.633872,181.207171,35.480241590646,88.385308141686
140.67677,182.798832,36.9665360239831,88.4504415134306
